_id,FOLIO_NUMBER,TERMINAL_PRODUCT_NUMBER,TANK_CODE,CLOSING_PHYSICAL
663e9561bbc41f1bb248520e,2021-09-27T00:00:00.000Z,1,TK-301,7885065
663e9561bbc41f1bb248520f,2021-09-28T00:00:00.000Z,1,TK-301,7874531
663e9561bbc41f1bb2485210,2021-09-29T00:00:00.000Z,1,TK-301,7877551
663e9561bbc41f1bb2485211,2021-09-30T00:00:00.000Z,1,TK-301,7874126
663e9561bbc41f1bb2485212,2021-10-01T00:00:00.000Z,1,TK-301,7876232
663e9561bbc41f1bb2485213,2021-10-02T00:00:00.000Z,1,TK-301,5405684
663e9561bbc41f1bb2485214,2021-10-03T00:00:00.000Z,1,TK-301,4181781
663e9561bbc41f1bb2485215,2021-10-04T00:00:00.000Z,1,TK-301,4170073
663e9561bbc41f1bb2485216,2021-10-05T00:00:00.000Z,1,TK-301,4173247
663e9561bbc41f1bb2485217,2021-10-06T00:00:00.000Z,1,TK-301,4175926
663e9561bbc41f1bb2485218,2021-10-07T00:00:00.000Z,1,TK-301,1420788
663e9561bbc41f1bb2485219,2021-10-08T00:00:00.000Z,1,TK-301,1257200
663e9561bbc41f1bb248521a,2021-10-09T00:00:00.000Z,1,TK-301,1258078
663e9561bbc41f1bb248521b,2021-10-10T00:00:00.000Z,1,TK-301,1259430
663e9561bbc41f1bb248521c,2021-10-11T00:00:00.000Z,1,TK-301,1258963
663e9561bbc41f1bb248521d,2021-10-12T00:00:00.000Z,1,TK-301,7406708
663e9561bbc41f1bb248521e,2021-10-13T00:00:00.000Z,1,TK-301,6118293
663e9561bbc41f1bb248521f,2021-10-14T00:00:00.000Z,1,TK-301,16594305
663e9561bbc41f1bb2485220,2021-10-15T00:00:00.000Z,1,TK-301,16597053
663e9561bbc41f1bb2485221,2021-10-16T00:00:00.000Z,1,TK-301,16596585
663e9561bbc41f1bb2485222,2021-10-17T00:00:00.000Z,1,TK-301,25564619
663e9561bbc41f1bb2485223,2021-10-18T00:00:00.000Z,1,TK-301,28334057
663e9561bbc41f1bb2485224,2021-10-19T00:00:00.000Z,1,TK-301,28337254
663e9561bbc41f1bb2485225,2021-10-20T00:00:00.000Z,1,TK-301,28346679
663e9561bbc41f1bb2485226,2021-10-21T00:00:00.000Z,1,TK-301,28349891
663e9561bbc41f1bb2485227,2021-10-22T00:00:00.000Z,1,TK-301,28350455
663e9561bbc41f1bb2485228,2021-10-23T00:00:00.000Z,1,TK-301,28354625
663e9561bbc41f1bb2485229,2021-10-24T00:00:00.000Z,1,TK-301,28354914
663e9561bbc41f1bb248522a,2021-10-25T00:00:00.000Z,1,TK-301,28324773
663e9561bbc41f1bb248522b,2021-10-26T00:00:00.000Z,1,TK-301,28299311
663e9561bbc41f1bb248522c,2021-10-27T00:00:00.000Z,1,TK-301,28301068
663e9561bbc41f1bb248522d,2021-10-28T00:00:00.000Z,1,TK-301,28301695
663e9561bbc41f1bb248522e,2021-10-29T00:00:00.000Z,1,TK-301,28303697
663e9561bbc41f1bb248522f,2021-10-30T00:00:00.000Z,1,TK-301,28309875
663e9561bbc41f1bb2485230,2021-10-31T00:00:00.000Z,1,TK-301,28287029
663e9561bbc41f1bb2485231,2021-11-01T00:00:00.000Z,1,TK-301,28294599
663e9561bbc41f1bb2485232,2021-11-02T00:00:00.000Z,1,TK-301,28293801
663e9561bbc41f1bb2485233,2021-11-03T00:00:00.000Z,1,TK-301,28317161
663e9561bbc41f1bb2485234,2021-11-04T00:00:00.000Z,1,TK-301,28306813
663e9561bbc41f1bb2485235,2021-11-05T00:00:00.000Z,1,TK-301,28283717
663e9561bbc41f1bb2485236,2021-11-06T00:00:00.000Z,1,TK-301,24816539
663e9561bbc41f1bb2485237,2021-11-07T00:00:00.000Z,1,TK-301,24823722
663e9561bbc41f1bb2485238,2021-11-08T00:00:00.000Z,1,TK-301,24820026
663e9561bbc41f1bb2485239,2021-11-09T00:00:00.000Z,1,TK-301,24803950
663e9561bbc41f1bb248523a,2021-11-10T00:00:00.000Z,1,TK-301,24833871
663e9561bbc41f1bb248523b,2021-11-11T00:00:00.000Z,1,TK-301,24835455
663e9561bbc41f1bb248523c,2021-11-12T00:00:00.000Z,1,TK-301,18271713
663e9561bbc41f1bb248523d,2021-11-13T00:00:00.000Z,1,TK-301,15437940
663e9561bbc41f1bb248523e,2021-11-14T00:00:00.000Z,1,TK-301,15444448
663e9561bbc41f1bb248523f,2021-11-15T00:00:00.000Z,1,TK-301,15439848
663e9561bbc41f1bb2485240,2021-11-16T00:00:00.000Z,1,TK-301,15425548
663e9561bbc41f1bb2485241,2021-11-17T00:00:00.000Z,1,TK-301,15406910
663e9561bbc41f1bb2485242,2021-11-18T00:00:00.000Z,1,TK-301,15409474
663e9561bbc41f1bb2485243,2021-11-19T00:00:00.000Z,1,TK-301,15395239
663e9561bbc41f1bb2485244,2021-11-20T00:00:00.000Z,1,TK-301,10816971
663e9561bbc41f1bb2485245,2021-11-21T00:00:00.000Z,1,TK-301,10799388
663e9561bbc41f1bb2485246,2021-11-22T00:00:00.000Z,1,TK-301,10805863
663e9561bbc41f1bb2485247,2021-11-23T00:00:00.000Z,1,TK-301,10811073
663e9561bbc41f1bb2485248,2021-11-24T00:00:00.000Z,1,TK-301,7053670
663e9561bbc41f1bb2485249,2021-11-25T00:00:00.000Z,1,TK-301,10329826
663e9561bbc41f1bb248524a,2021-11-26T00:00:00.000Z,1,TK-301,14413961
663e9561bbc41f1bb248524b,2021-11-27T00:00:00.000Z,1,TK-301,18788015
663e9561bbc41f1bb248524c,2021-11-28T00:00:00.000Z,1,TK-301,18787397
663e9561bbc41f1bb248524d,2021-11-29T00:00:00.000Z,1,TK-301,18789279
663e9561bbc41f1bb248524e,2021-11-30T00:00:00.000Z,1,TK-301,18791123
663e9561bbc41f1bb248524f,2021-12-01T00:00:00.000Z,1,TK-301,18796705
663e9561bbc41f1bb2485250,2021-12-02T00:00:00.000Z,1,TK-301,18771361
663e9561bbc41f1bb2485251,2021-12-03T00:00:00.000Z,1,TK-301,18247324
663e9561bbc41f1bb2485252,2021-12-04T00:00:00.000Z,1,TK-301,14524239
663e9561bbc41f1bb2485253,2021-12-05T00:00:00.000Z,1,TK-301,14529618
663e9561bbc41f1bb2485254,2021-12-06T00:00:00.000Z,1,TK-301,14532245
663e9561bbc41f1bb2485255,2021-12-07T00:00:00.000Z,1,TK-301,14534863
663e9561bbc41f1bb2485256,2021-12-08T00:00:00.000Z,1,TK-301,14541960
663e9561bbc41f1bb2485257,2021-12-09T00:00:00.000Z,1,TK-301,9852928
663e9561bbc41f1bb2485258,2021-12-10T00:00:00.000Z,1,TK-301,6440311
663e9561bbc41f1bb2485259,2021-12-11T00:00:00.000Z,1,TK-301,6443578
663e9561bbc41f1bb248525a,2021-12-12T00:00:00.000Z,1,TK-301,6431716
663e9561bbc41f1bb248525b,2021-12-13T00:00:00.000Z,1,TK-301,6435038
663e9561bbc41f1bb248525c,2021-12-14T00:00:00.000Z,1,TK-301,6439010
663e9561bbc41f1bb248525d,2021-12-15T00:00:00.000Z,1,TK-301,2609306
663e9561bbc41f1bb248525e,2021-12-16T00:00:00.000Z,1,TK-301,2613139
663e9561bbc41f1bb248525f,2021-12-17T00:00:00.000Z,1,TK-301,349228
663e9561bbc41f1bb2485260,2021-12-18T00:00:00.000Z,1,TK-301,349228
663e9561bbc41f1bb2485261,2021-12-19T00:00:00.000Z,1,TK-301,349228
663e9561bbc41f1bb2485262,2021-12-20T00:00:00.000Z,1,TK-301,441086
663e9561bbc41f1bb2485263,2021-12-21T00:00:00.000Z,1,TK-301,441086
663e9561bbc41f1bb2485264,2021-12-22T00:00:00.000Z,1,TK-301,441086
663e9561bbc41f1bb2485265,2021-12-23T00:00:00.000Z,1,TK-301,441086
663e9561bbc41f1bb2485266,2021-12-24T00:00:00.000Z,1,TK-301,441086
663e9561bbc41f1bb2485267,2021-12-25T00:00:00.000Z,1,TK-301,21733502
663e9561bbc41f1bb2485268,2021-12-26T00:00:00.000Z,1,TK-301,37122656
663e9561bbc41f1bb2485269,2021-12-27T00:00:00.000Z,1,TK-301,37122441
663e9561bbc41f1bb248526a,2021-12-28T00:00:00.000Z,1,TK-301,37119181
663e9561bbc41f1bb248526b,2021-12-29T00:00:00.000Z,1,TK-301,37114050
663e9561bbc41f1bb248526c,2021-12-30T00:00:00.000Z,1,TK-301,30728305
663e9561bbc41f1bb248526d,2021-12-31T00:00:00.000Z,1,TK-301,20029812
663e9561bbc41f1bb248526e,2022-01-01T00:00:00.000Z,1,TK-301,18114044
663e9561bbc41f1bb248526f,2022-01-02T00:00:00.000Z,1,TK-301,18108389
663e9561bbc41f1bb2485270,2022-01-03T00:00:00.000Z,1,TK-301,18124828
663e9561bbc41f1bb2485271,2022-01-04T00:00:00.000Z,1,TK-301,15175550
663e9561bbc41f1bb2485272,2022-01-05T00:00:00.000Z,1,TK-301,14117691
663e9561bbc41f1bb2485273,2022-01-06T00:00:00.000Z,1,TK-301,8823581
663e9561bbc41f1bb2485274,2022-01-07T00:00:00.000Z,1,TK-301,13886941
663e9561bbc41f1bb2485275,2022-01-08T00:00:00.000Z,1,TK-301,24410069
663e9561bbc41f1bb2485276,2022-01-09T00:00:00.000Z,1,TK-301,18258019
663e9561bbc41f1bb2485277,2022-01-10T00:00:00.000Z,1,TK-301,650245
663e9561bbc41f1bb2485278,2022-01-11T00:00:00.000Z,1,TK-301,652302
663e9561bbc41f1bb2485279,2022-01-12T00:00:00.000Z,1,TK-301,680609
663e9561bbc41f1bb248527a,2022-01-13T00:00:00.000Z,1,TK-301,7273658
663e9561bbc41f1bb248527b,2022-01-14T00:00:00.000Z,1,TK-301,7272724
663e9561bbc41f1bb248527c,2022-01-15T00:00:00.000Z,1,TK-301,7273244
663e9561bbc41f1bb248527d,2022-01-16T00:00:00.000Z,1,TK-301,7273161
663e9561bbc41f1bb248527e,2022-01-17T00:00:00.000Z,1,TK-301,7269749
663e9561bbc41f1bb248527f,2022-01-18T00:00:00.000Z,1,TK-301,7270098
663e9561bbc41f1bb2485280,2022-01-19T00:00:00.000Z,1,TK-301,10393199
663e9561bbc41f1bb2485281,2022-01-20T00:00:00.000Z,1,TK-301,27310331
663e9561bbc41f1bb2485282,2022-01-21T00:00:00.000Z,1,TK-301,35631448
663e9561bbc41f1bb2485283,2022-01-22T00:00:00.000Z,1,TK-301,24791580
663e9561bbc41f1bb2485284,2022-01-23T00:00:00.000Z,1,TK-301,24788614
663e9561bbc41f1bb2485285,2022-01-24T00:00:00.000Z,1,TK-301,23042655
663e9561bbc41f1bb2485286,2022-01-25T00:00:00.000Z,1,TK-301,22512537
663e9561bbc41f1bb2485287,2022-01-26T00:00:00.000Z,1,TK-301,18970787
663e9561bbc41f1bb2485288,2022-01-27T00:00:00.000Z,1,TK-301,10375285
663e9561bbc41f1bb2485289,2022-01-28T00:00:00.000Z,1,TK-301,10373520
663e9561bbc41f1bb248528a,2022-01-29T00:00:00.000Z,1,TK-301,10992634
663e9561bbc41f1bb248528b,2022-01-30T00:00:00.000Z,1,TK-301,35457062
663e9561bbc41f1bb248528c,2022-01-31T00:00:00.000Z,1,TK-301,35453898
663e9561bbc41f1bb248528d,2022-02-01T00:00:00.000Z,1,TK-301,35452969
663e9561bbc41f1bb248528e,2022-02-02T00:00:00.000Z,1,TK-301,35450507
663e9561bbc41f1bb248528f,2022-02-03T00:00:00.000Z,1,TK-301,35453667
663e9561bbc41f1bb2485290,2022-02-04T00:00:00.000Z,1,TK-301,35453865
663e9561bbc41f1bb2485291,2022-02-05T00:00:00.000Z,1,TK-301,35442313
663e9561bbc41f1bb2485292,2022-02-06T00:00:00.000Z,1,TK-301,9005656
663e9561bbc41f1bb2485293,2022-02-07T00:00:00.000Z,1,TK-301,5246951
663e9561bbc41f1bb2485294,2022-02-08T00:00:00.000Z,1,TK-301,3115640
663e9561bbc41f1bb2485295,2022-02-09T00:00:00.000Z,1,TK-301,3117193
663e9561bbc41f1bb2485296,2022-02-10T00:00:00.000Z,1,TK-301,3115990
663e9561bbc41f1bb2485297,2022-02-11T00:00:00.000Z,1,TK-301,3116681
663e9561bbc41f1bb2485298,2022-02-12T00:00:00.000Z,1,TK-301,3115507
663e9561bbc41f1bb2485299,2022-02-13T00:00:00.000Z,1,TK-301,3114887
663e9561bbc41f1bb248529a,2022-02-14T00:00:00.000Z,1,TK-301,19383136
663e9561bbc41f1bb248529b,2022-02-15T00:00:00.000Z,1,TK-301,38185914
663e9561bbc41f1bb248529c,2022-02-16T00:00:00.000Z,1,TK-301,38187043
663e9561bbc41f1bb248529d,2022-02-17T00:00:00.000Z,1,TK-301,37191455
663e9561bbc41f1bb248529e,2022-02-18T00:00:00.000Z,1,TK-301,37142323
