METER_CODE,FOLIO_NUMBER,ORDERED_QUANTITY,COMMITTED_NET_QUANTITY,GROSS_UNACCOUNTED,GROSS_THRUPUT,ACTUAL_GROSS_THRUPUT,serka,serka2,serka3
MTR_201,20220104,443665,414837,2,416239,416241,27426,-1402,-1404
MTR_201,20220105,584922,556667,3,551684,551687,33238,4983,4980
MTR_201,20220106,420100,416559,4,417803,417807,2297,-1244,-1248
MTR_201,20220107,560000,550139,-2,551669,551667,8331,-1530,-1528
MTR_201,20220108,437100,384768,1,398792,398793,38308,-14024,-14025
MTR_201,20220110,631923,562241,9,556625,556634,75298,5616,5607
MTR_201,20220111,358000,343054,0,343810,343810,14190,-756,-756
MTR_201,20220112,393000,391987,0,392752,392752,248,-765,-765
MTR_201,20220113,412000,403041,-2,403755,403753,8245,-714,-712
MTR_201,20220114,390000,377195,3,377762,377765,12238,-567,-570
MTR_201,20220115,590000,530962,1,541549,541550,48451,-10587,-10588
MTR_201,20220116,69000,68880,2,68959,68961,41,-79,-81
MTR_201,20220117,399000,351415,-3,359570,359567,39430,-8155,-8152
MTR_201,20220118,402000,346478,2,346832,346834,55168,-354,-356
MTR_201,20220119,380000,363498,3,363807,363810,16193,-309,-312
MTR_201,20220120,317000,276656,4,276789,276793,40211,-133,-137
MTR_201,20220121,486000,469471,1,469690,469691,16310,-219,-220
MTR_201,20220122,325000,322675,-1,322812,322811,2188,-137,-136
MTR_201,20220124,364000,355713,-1,355777,355776,8223,-64,-63
MTR_201,20220125,347100,329873,3,329838,329841,17262,35,32
MTR_201,20220126,313000,284826,0,292674,292674,20326,-7848,-7848
MTR_201,20220127,387000,370803,0,370823,370823,16177,-20,-20
MTR_201,20220128,461000,460755,2,460703,460705,297,52,50
MTR_201,20220129,373100,352911,-3,370310,370307,2790,-17399,-17396
MTR_201,20220131,657000,605715,2002,611543,613545,45457,-5828,-7830
MTR_201,20220201,314000,299863,0,299853,299853,14147,10,10
MTR_201,20220202,230000,227895,-1,227847,227846,2153,48,49
MTR_201,20220203,344000,333852,-1,333833,333832,10167,19,20
MTR_201,20220204,411000,390824,1,391285,391286,19715,-461,-462
MTR_201,20220205,440100,428905,2,428774,428776,11326,131,129
MTR_201,20220207,425000,404818,4,404793,404797,20207,25,21
MTR_201,20220208,343000,319853,1,319842,319843,23158,11,10
MTR_201,20220209,293000,292864,3,292827,292830,173,37,34
MTR_201,20220210,317000,294869,3,294852,294855,22148,17,14
MTR_201,20220211,438000,416811,3,416759,416762,21241,52,49
MTR_201,20220212,389100,388928,-2,388872,388870,228,56,58
MTR_201,20220214,518000,504780,5,504715,504720,13285,65,60
MTR_201,20220215,711000,621761,8,621582,621590,89418,179,171
MTR_201,20220216,437000,431858,3,431737,431740,5263,121,118
MTR_201,20220217,381000,362882,2,362787,362789,18213,95,93
MTR_201,20220218,505000,487827,-1,487714,487713,17286,113,114
MTR_201,20220219,382000,329861,0,320774,320774,61226,9087,9087
MTR_201,20220221,379000,360844,5,367818,367823,11182,-6974,-6979
MTR_201,20220222,415000,369835,1,369833,369834,45167,2,1
MTR_201,20220223,426000,390794,1,390813,390814,35187,-19,-20
MTR_201,20220224,465000,450752,4,450687,450691,14313,65,61
MTR_201,20220225,597000,574695,4,572598,572602,24402,2097,2093
MTR_201,20220226,430000,420796,1,420760,420761,9240,36,35
MTR_201,20220228,745000,694747,11,695958,695969,49042,-1211,-1222
MTR_201,20220301,527000,471840,5,468728,468733,58272,3112,3107
MTR_201,20220302,436000,390868,10,390814,390824,45186,54,44
MTR_201,20220303,350000,338853,-4,339814,339810,10186,-961,-957
MTR_201,20220304,616200,557968,4,557831,557835,58369,137,133
MTR_201,20220305,424196,386072,2,387647,387649,36549,-1575,-1577
MTR_201,20220306,23000,22994,0,22987,22987,13,7,7
MTR_201,20220307,494000,438903,11,438770,438781,55230,133,122
MTR_201,20220308,487200,429006,2,428759,428761,58441,247,245
MTR_201,20220309,494000,454907,0,454738,454738,39262,169,169
MTR_201,20220310,381000,362899,1,362775,362776,18225,124,123
MTR_201,20220311,528400,502236,-3,510020,510017,18380,-7784,-7781
MTR_201,20220312,433130,400997,2,408785,408787,24345,-7788,-7790
MTR_201,20220313,30000,29988,1,29968,29969,32,20,19
MTR_201,20220314,513000,488795,-1,490708,490707,22292,-1913,-1912
MTR_201,20220315,475000,440887,4,440747,440751,34253,140,136
MTR_201,20220316,258100,252098,1,251930,251931,6170,168,167
MTR_201,20220317,543000,475038,10,482755,482765,60245,-7717,-7727
MTR_201,20220318,482000,440998,7,451780,451787,30220,-10782,-10789
MTR_201,20220319,408000,365963,4,367148,367152,40852,-1185,-1189
MTR_201,20220321,465000,445974,0,455447,455447,9553,-9473,-9473
MTR_201,20220322,360000,313982,4,313825,313829,46175,157,153
MTR_201,20220323,282000,276916,3,276830,276833,5170,86,83
MTR_201,20220324,379000,333094,3,346832,346835,32168,-13738,-13741
MTR_201,20220325,286000,276222,2,275870,275872,10130,352,350
MTR_201,20220326,370401,347634,1,347269,347270,23132,365,364
MTR_201,20220328,490000,474966,3,474706,474709,15294,260,257
MTR_201,20220329,420000,395943,0,395777,395777,24223,166,166
MTR_201,20220330,597000,544928,7,544743,544750,52257,185,178
MTR_201,20220331,565100,529957,4,537790,537794,27310,-7833,-7837
MTR_201,20220401,556000,548799,-1,548686,548685,7314,113,114
MTR_201,20220402,406620,393630,5,392805,392810,13815,825,820
MTR_201,20220404,430000,380124,2,404165,404167,25835,-24041,-24043
MTR_201,20220405,392000,362271,-1,390959,390958,1041,-28688,-28687
MTR_201,20220406,282000,251182,2,270540,270542,11460,-19358,-19360
MTR_201,20220407,418000,412238,-2,411758,411756,6242,480,482
MTR_201,20220408,335000,319110,5,318780,318785,16220,330,325
MTR_201,20220409,371000,345993,3,345766,345769,25234,227,224
MTR_201,20220411,320000,292887,3,292831,292834,27169,56,53
MTR_201,20220412,338000,329775,5,329815,329820,8185,-40,-45
MTR_201,20220413,297200,291062,-4,290980,290976,6220,82,86
MTR_201,20220414,256100,240955,0,240877,240877,15223,78,78
MTR_201,20220415,316100,286874,3,286862,286865,29238,12,9
MTR_201,20220416,478000,469441,0,469730,469730,8270,-289,-289
MTR_201,20220418,451000,441040,3,441718,441721,9282,-678,-681
MTR_201,20220419,528100,454079,10,469828,469838,58272,-15749,-15759
MTR_201,20220420,282100,267702,5,255850,255855,26250,11852,11847
MTR_201,20220421,724100,715008,1,715660,715661,8440,-652,-653
MTR_201,20220422,296000,280728,1,280841,280842,15159,-113,-114
MTR_201,20220424,463000,459636,-1,462754,462753,246,-3118,-3117
MTR_201,20220425,373000,362396,0,364823,364823,8177,-2427,-2427
MTR_201,20220426,414000,411040,-4,413798,413794,202,-2758,-2754
MTR_201,20220427,481000,465643,1,468771,468772,12229,-3128,-3129
MTR_201,20220428,439000,421958,5,424786,424791,14214,-2828,-2833
MTR_201,20220429,511000,452737,-2,463736,463734,47264,-10999,-10997
MTR_201,20220503,293000,290906,2,292832,292834,168,-1926,-1928
MTR_201,20220504,236000,228355,1,229860,229861,6140,-1505,-1506
MTR_201,20220505,508000,493441,3,496745,496748,11255,-3304,-3307
MTR_201,20220506,456100,433974,0,436808,436808,19292,-2834,-2834
MTR_201,20220507,373000,344517,1,353825,353826,19175,-9308,-9309
MTR_201,20220509,421000,382248,4,384819,384823,36181,-2571,-2575
MTR_201,20220510,319000,293883,5,295814,295819,23186,-1931,-1936
MTR_201,20220511,470000,436854,7,445466,445473,24534,-8612,-8619
MTR_201,20220512,502000,490466,6,493728,493734,8272,-3262,-3268
MTR_201,20220513,556000,539116,2,542705,542707,13295,-3589,-3591
MTR_201,20220514,694000,661238,3,665655,665658,28345,-4417,-4420
MTR_201,20220515,15000,14893,0,14985,14985,15,-92,-92
MTR_201,20220516,404000,383237,4,385822,385826,18178,-2585,-2589
MTR_201,20220517,440000,400119,6,402751,402757,37249,-2632,-2638
MTR_201,20220518,478000,437844,6,449732,449738,28268,-11888,-11894
MTR_201,20220519,541200,494539,6,497781,497787,43419,-3242,-3248
MTR_201,20220520,679100,617649,7,626639,626646,52461,-8990,-8997
MTR_201,20220521,495000,447770,1,450740,450741,44260,-2970,-2971
MTR_201,20220522,20000,19857,0,19982,19982,18,-125,-125
MTR_201,20220523,428100,425037,-3,427754,427751,346,-2717,-2714
MTR_201,20220524,528000,513301,-2,516669,516667,11331,-3368,-3366
MTR_201,20220525,336000,333597,2,335767,335769,233,-2170,-2172
MTR_201,20220526,557000,518265,6,521656,521662,35344,-3391,-3397
MTR_201,20220527,548000,511313,2,514703,514705,33297,-3390,-3392
MTR_201,20220528,423000,388203,1,390789,390790,32211,-2586,-2587
MTR_201,20220530,488000,461673,2,464752,464754,23248,-3079,-3081
MTR_201,20220531,442100,418087,6,420866,420872,21234,-2779,-2785
MTR_201,20220601,511100,482621,6,485836,485842,25264,-3215,-3221
MTR_201,20220602,592000,522237,7,521663,521670,70337,574,567
