INJECTOR_CODE,FOLIO_NUMBER,ORDERED_QUANTITY,COMMITTED_NET_QUANTITY,UNACCOUNTED,FRAC_UNACCOUNTED,PRODUCT_THRUPUT,serka
INJ_201,20221223,375,375,0,0,2997,-2622
INJ_201,20221230,375,0,0,0,2205,-2205
INJ_201,20221231,500,500,0,0,3995,-3495
INJ_201,20230103,500,500,0,-1,3997,-3497
INJ_201,20230112,750,750,0,1,5999,-5249
INJ_201,20230130,500,500,0,0,3994,-3494
INJ_201,20230203,875,875,0,0,6997,-6122
INJ_201,20230209,500,500,0,-1,3998,-3498
INJ_201,20230215,250,250,0,0,1995,-1745
INJ_201,20230220,6300,5400,0,0,19928,-14528
INJ_201,20230221,500,500,0,0,3999,-3499
INJ_201,20230224,250,250,0,0,1998,-1748
INJ_201,20230304,2250,2250,0,1,17998,-15748
INJ_201,20230308,500,500,0,-1,3998,-3498
INJ_201,20230313,4200,4200,0,1,13996,-9796
INJ_201,20230314,20430,18030,0,-1,60003,-41973
INJ_201,20230325,250,250,0,0,1996,-1746
INJ_201,20230328,500,500,0,0,3999,-3499
INJ_201,20230331,375,375,0,-1,2999,-2624
INJ_201,20230405,875,875,0,0,6998,-6123
INJ_201,20230408,500,500,0,-1,3998,-3498
INJ_201,20230418,375,375,0,1,2999,-2624
INJ_201,20230419,875,875,0,-1,6995,-6120
INJ_201,20230428,1500,1000,0,0,7997,-6997
INJ_201,20230429,500,500,0,0,3998,-3498
INJ_201,20230502,750,750,0,0,5998,-5248
INJ_201,20230505,10300,9400,0,-1,35981,-26581
INJ_201,20230506,9450,9450,0,1,34978,-25528
INJ_201,20230508,36900,32400,-4,-500,107970,-75570
INJ_201,20230509,30770,30770,0,1,113962,-83192
INJ_201,20230510,36570,36570,0,1,158950,-122380
INJ_201,20230511,33120,31050,0,-1,138658,-107608
INJ_201,20230512,26680,24840,0,0,100724,-75884
INJ_201,20230513,17250,17250,0,0,74974,-57724
INJ_201,20230515,29210,25530,0,-2,114420,-88890
INJ_201,20230516,18630,18630,0,0,80974,-62344
INJ_201,20230517,34500,34500,0,1,149965,-115465
INJ_201,20230518,12420,12420,0,-1,53987,-41567
INJ_201,20230519,21620,21620,0,1,93976,-72356
INJ_201,20230520,17020,17020,0,-1,73974,-56954
INJ_201,20230522,38280,33450,0,-3,146203,-112753
INJ_201,20230523,12850,12850,0,1,50984,-38134
INJ_201,20230524,29450,29450,0,-3,124974,-95524
INJ_201,20230525,17250,14030,0,0,60990,-46960
INJ_201,20230526,16100,16100,0,-1,69986,-53886
INJ_201,20230527,24660,23740,0,-1,101971,-78231
INJ_201,20230529,27370,26910,0,-1,118957,-92047
INJ_201,20230530,92230,8280,0,-2,35984,-27704
INJ_201,20230531,13320,1480,0,0,3999,-2519
INJ_201,20230606,25760,25760,0,0,111980,-86220
INJ_201,20230607,21620,21620,0,0,93981,-72361
INJ_201,20230608,7740,7740,0,-1,29994,-22254
INJ_201,20230609,15770,14970,0,1,90985,-76015
INJ_201,20230610,9700,8300,0,0,82973,-74673
INJ_201,20230612,8300,6300,0,1,76730,-70430
INJ_201,20230613,8380,8380,0,0,72980,-64600
INJ_201,20230614,6300,6000,0,0,59983,-53983
INJ_201,20230615,6800,6800,0,-1,67979,-61179
INJ_201,20230616,21240,21240,0,2,206957,-185717
INJ_201,20230617,11300,10500,0,1,104969,-94469
INJ_201,20230619,12040,9640,0,1,90969,-81329
INJ_201,20230620,11300,8500,0,1,84981,-76481
INJ_201,20230621,10700,10700,0,-1,106972,-96272
INJ_201,20230622,9440,9440,0,1,88978,-79538
INJ_201,20230626,10250,9450,0,0,80983,-71533
INJ_201,20230627,11700,9300,0,-2,92968,-83668
INJ_201,20230628,20920,18520,0,2,168561,-150041
INJ_201,20230630,11100,11100,0,-1,83973,-72873
INJ_201,20230701,6300,6300,0,-1,62987,-56687
INJ_201,20230703,16680,12880,0,-3,115975,-103095
INJ_201,20230704,13500,12100,0,0,120969,-108869
INJ_201,20230705,23490,20090,0,-2,181950,-161860
INJ_201,20230706,14380,14380,0,2,132974,-118594
INJ_201,20230707,17300,17300,0,1,172957,-155657
INJ_201,20230708,19680,19280,0,-1,181921,-162641
INJ_201,20230710,27610,18690,0,-2,167937,-149247
INJ_201,20230711,33100,11500,0,-1,114938,-103438
INJ_201,20230712,10040,10040,0,1,85974,-75934
INJ_201,20230713,16300,16300,0,1,153948,-137648
INJ_201,20230714,13200,13200,0,-2,131972,-118772
INJ_201,20230715,12200,11200,0,1,111977,-100777
INJ_201,20230716,1700,1700,0,-1,16997,-15297
INJ_201,20230717,11900,9500,0,0,94985,-85485
INJ_201,20230718,14560,13080,0,0,119969,-106889
INJ_201,20230719,9800,9200,0,-1,91929,-82729
INJ_202,20220126,17100,4500,0,0,14969,-10469
INJ_202,20220127,12600,7800,0,0,25934,-18134
INJ_202,20220128,6000,3300,0,0,10964,-7664
INJ_202,20220129,14700,3900,0,-1,12967,-9067
INJ_202,20220131,7800,3300,0,0,10968,-7668
INJ_202,20220201,3600,900,0,1,2991,-2091
INJ_202,20220202,3000,1500,0,0,4983,-3483
INJ_202,20220203,1800,900,0,0,3007,-2107
INJ_202,20220204,11700,1800,0,1,13212,-11412
INJ_202,20220205,21600,6000,0,-1,19954,-13954
INJ_202,20220207,5400,1800,0,-1,5994,-4194
INJ_202,20220208,26100,6600,0,0,21969,-15369
INJ_202,20220209,10500,4800,0,-1,14070,-9270
INJ_202,20220210,3600,1500,0,0,4981,-3481
INJ_202,20220211,14400,1800,0,0,5993,-4193
INJ_202,20220212,1800,600,0,0,1992,-1392
INJ_202,20220214,44700,7800,0,2,25961,-18161
INJ_202,20220215,12600,6300,0,0,20939,-14639
INJ_202,20220216,4200,1500,0,1,4985,-3485
INJ_202,20220217,12300,5100,0,-1,16963,-11863
