METER_CODE,successive_non_zero,successive_non_zero_abs_sum,last_date_non_zero,repaired,cluster
MTR_201,1,14995,359,1,3
MTR_202,1,4987,359,1,3
MTR_203,1,11991,359,1,3
MTR_301,1,7999,334,1,3
MTR_302,1,65489,404,1,1
MTR_303,2,54,289,1,0
MTR_401,2,82,288,1,0
MTR_402,1,144,301,1,2
MTR_403,1,40,289,1,2
MTR_501,2,47,288,1,0
MTR_502,1,29,289,1,2
MTR_503,1,24,289,1,2
